id,name,brand,long_description,app_name,image_url,url
132386545,Equate 8000 Series Premium Upper Arm Cuff Blood Pressure Monitor Equipped with Bluetooth wireless technology,Equate,"
Equate 8000 Series Premium Upper Arm Cuff Blood Pressure Monitor:
One size fits most cuff (9""-17"")
Easy one-touch operation
Instructional and informative talking function
Equipped with Bluetooth technology to log and share readings using Equate Heart Health App
Automatically takes and averages 3 consecutive readings
Detects irregular heartbeat
4 AA Batteries, storage bag, AC adapter included
Backlit display
2 users",HEART,https://i5.walmartimages.com//seo/Equate-8000-Series-Premium-Upper-Arm-Cuff-Blood-Pressure-Monitor-Equipped-with-Bluetooth-wireless-technology_15403cff-7127-4ade-a069-35ce6718614c.d3a3300347508b74454bccfbe16b9ed5.jpeg,https://wrd.walmart.com/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=1&tax=976760_1005860&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FEquate-8000-Series-Premium-Upper-Arm-Cuff-Blood-Pressure-Monitor-Equipped-with-Bluetooth-wireless-technology%2F132386545%3Fathbdg%3DL1103%26adsRedirect%3Dtrue&adUid=fa4aa289-3ddd-4926-9a55-a1bb65512827&mloc=sp-search-middle&pltfm=desktop&pgId=smart%20blood%20pressure%20monitors&pt=search&spQs=3_4JdZoej9Ob0By74mjHplJy9Q1X8i2Qjv_WAIvLWF0Sfqx9Lg33Pwavau84B88MVjPfoqLf-g24-ZOrAJYPEk0gOfDsLcUKV1Q6KxV99wrVkPM8xcsFbCVi9pK7t2m0GwnecHovqCmYDOe4pZ0SNbf9aYEICNzt-PrFFOrPYq0xTf8GielrzKjOiGJYQzdgwWU70-2DxwrlAUsAJfUDOQ3LOk0NSTdN1d9htaLpi-vxoPGfc-ovO55u-AwnH-9knAffGJ91ez10U-C-ijKPD801AQgR9RMw6z_AAeEwBGc&storeId=5867&couponState=na&bkt=ace_3121%7Ccoldstart_on%7Csearch_default&athbdg=L1103
510497172,Homedics Upper Arm 500 Series Blood Pressure Monitor Voice Out Guide Easy Operation Accurate Results Bluetooth wireless technology,Homedics,"
Voice Out Guide gives verbal instructions to help you use the device, reads out your results, and more for a truly accessible experience
Easy one-touch operation lets you get blood pressure readings at home without the hassle
Irregular Heartbeat Detector flags any potential issues early, so you can take action
Smart Measure® inflation technology and Excessive Body Motion Detector help you enjoy accurate readings, every time
Bluetooth® wireless technology helps you sync to the free Homedics Health+ app to enjoy convenient features like sharing, history, and reminders
Risk Category Index compares to blood pressure levels established by AHA® 2017, giving you great context for your results
2 users can store up to 120 memories each and see the memory average of their last 3 readings
Large, easy-to-read display with date and time stamp makes it super-accessible to use
One-size-fits-most soft arm cuff (9”-17”) is comfortable, convenient, and easy to switch out for the Homedics XL arm cuff (17”-22”, sold separately) if needed
AC adapter compatible 
HSA/HRA/FSA eligible 
Includes: blood pressure monitor, one-size-fits-most arm cuff, storage bag, 4 “AAA” batteries, instruction manual with 5-year warranty















  Specifications: 
Model# BPA-900BT-WT /BPA-900BTA-WT",HOMEDICS,https://i5.walmartimages.com//seo/Homedics-Upper-Arm-500-Series-Blood-Pressure-Monitor-Voice-Out-Guide-Easy-Operation-Accurate-Results-Bluetooth-wireless-technology_002aefca-25f2-42b3-adcb-278061ec2206.d9ac68e114c3d5ed0e96f1b8dc3f90d3.png,https://wrd.walmart.com/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=2&tax=976760_1005860&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FHomedics-Upper-Arm-500-Series-Blood-Pressure-Monitor-Voice-Out-Guide-Easy-Operation-Accurate-Results-Bluetooth-wireless-technology%2F510497172%3Fathbdg%3DL1103%26adsRedirect%3Dtrue&adUid=fa4aa289-3ddd-4926-9a55-a1bb65512827&mloc=sp-search-middle&pltfm=desktop&pgId=smart%20blood%20pressure%20monitors&pt=search&spQs=DKZXS7goXZnBvTt7LMAUYlJy9Q1X8i2Qjv_WAIvLWF0Sfqx9Lg33Pwavau84B88MVjPfoqLf-g24-ZOrAJYPEk0gOfDsLcUKV1Q6KxV99wrVkPM8xcsFbCVi9pK7t2m03TCvlKMmUEjCpSn72tF37whuFTpfKYFOE7ozztuRRY082QWaQJBTKu_bhSPeUJtSJWyahQEmfFfh5PdCc-bzxyqbKoccGlQKpZwMdBim5z_ojDPHbwLmXv3N5ysnxvHknz5np4WDqJJzZ5Ki-QucYxd5MHVqGNqzIDZPIaa1N1o&storeId=5867&couponState=na&bkt=ace_3121%7Ccoldstart_on%7Csearch_default&athbdg=L1103
677286805,Homedics 5 Day Trend at a Glance Arm 700 Series Blood Pressure Monitor One Touch Use with Bluetooth wireless technology,Homedics,"
Easy one-touch operation lets you get blood pressure readings at home without the hassle
5-Day Trend-at-a-Glance feature lets you see you last 5-day trend of blood pressure variation at a glance
Irregular Heartbeat Detector flags any potential issues early, so you can take action
Smart Measure inflation technology and Excessive Body Motion Detector help you enjoy accurate readings, every time
Bluetooth wireless technology helps you sync to the free Homedics Health+ app to enjoy convenient features like sharing, history, and reminders
2 users can store up to 120 memories each and see the memory average of their last 3 readings
Risk Category Index compares to blood pressure levels established by AHA 2017, giving you great context for your results
Easy-to-read backlit display with extra-large digits plus date and time stamp make it accessible to use
One-size-fits-most 9”-17” arm cuff is comfortable and convenient; also available is the Homedics XL Upper Arm that fits arms 17”-22” (sold separately)
AC adapter compatible
HSA/HRA/FSA Eligible
Includes: 4 “AAA” LR03 alkaline batteries, universal arm cuff (9”– 17”), storage bag, USB to DC power cable, instruction manual with 5-year warranty


  Specifications: 
Model: BPA-100TRBT/ BPA-100TRBTA",HOMEDICS,https://i5.walmartimages.com//seo/Homedics-5-Day-Trend-at-a-Glance-Arm-700-Series-Blood-Pressure-Monitor-One-Touch-Use-with-Bluetooth-wireless-technology_bcd14bc1-9156-4d3e-bff7-61a69d39b935.a27f5f970e442ab08c81a89eb1e490c0.png,https://wrd.walmart.com/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=3&tax=976760_1005860&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FHomedics-5-Day-Trend-at-a-Glance-Arm-700-Series-Blood-Pressure-Monitor-One-Touch-Use-with-Bluetooth-wireless-technology%2F677286805%3FadsRedirect%3Dtrue&adUid=fa4aa289-3ddd-4926-9a55-a1bb65512827&mloc=sp-search-middle&pltfm=desktop&pgId=smart%20blood%20pressure%20monitors&pt=search&spQs=ni_9675aWKePEWREHkQuzVJy9Q1X8i2Qjv_WAIvLWF0Sfqx9Lg33Pwavau84B88MVjPfoqLf-g24-ZOrAJYPEk0gOfDsLcUKV1Q6KxV99wrVkPM8xcsFbCVi9pK7t2m0I9nKZyFJ3qMlj8J0uwS2X9cA-rxlToVqsAXDk-QyxIk82QWaQJBTKu_bhSPeUJtSJWyahQEmfFfh5PdCc-bzxyqbKoccGlQKpZwMdBim5z_ojDPHbwLmXv3N5ysnxvHknz5np4WDqJJzZ5Ki-QucYxd5MHVqGNqzIDZPIaa1N1o&storeId=5867&couponState=na&bkt=ace_3121%7Ccoldstart_on%7Csearch_default&/ip/Homedics-5-Day-Trend-at-a-Glance-Arm-700-Series-Blood-Pressure-Monitor-One-Touch-Use-with-Bluetooth-wireless-technology/677286805
873108345,Homedics Wrist Cuff 700 Series Blood Pressure Monitor One Touch Operation Accurate Results Wireless Technology Bluetooth wireless technology,Homedics,"
Easy one-touch operation lets you get blood pressure readings at home without the hassle
Irregular Heartbeat Detector flags any potential issues early, so you can take action
Wrist positioning guide helps you ensure the device is at the correct height to take an accurate reading
Cuff fitness detection makes it simple to place the cuff in the correct position on your wrist
Smart Measure® inflation technology and Excessive Body Motion Detector help you enjoy accurate readings, every time
Bluetooth® wireless technology helps you sync to the free Homedics Health+ app to enjoy convenient features like sharing, history, and reminders
Risk Category Index compares to blood pressure levels established by AHA® 2017, giving you great context for your results
2 users can store up to 120 memories each and see the memory average of their last 3 readings, last 3 AM readings, and last 3 PM readings
Large, easy-to-read display with date and time stamp makes it super-accessible to use
Portable and convenient with included storage bag to easily use at home or on the go
HSA/HRA/FSA eligible
Includes: blood pressure monitor with attached wrist cuff (5.3”-7.7”), 2 “AAA” alkaline batteries, storage bag, instruction manual with 5-year warranty 
Specifications:
  Model: BPW-800BT-WT / BPW-800BTA-WT",HOMEDICS,https://i5.walmartimages.com//seo/Homedics-Wrist-Cuff-700-Series-Blood-Pressure-Monitor-One-Touch-Operation-Accurate-Results-Wireless-Technology-Bluetooth-wireless-technology_60607dcc-9ae7-431a-b350-9e8918b89496.66238e02a30aa672a4293639c9cb77e8.png,https://wrd.walmart.com/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=4&tax=976760_1005860&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FHomedics-Wrist-Cuff-700-Series-Blood-Pressure-Monitor-One-Touch-Operation-Accurate-Results-Wireless-Technology-Bluetooth-wireless-technology%2F873108345%3Fathbdg%3DL1103%26adsRedirect%3Dtrue&adUid=fa4aa289-3ddd-4926-9a55-a1bb65512827&mloc=sp-search-middle&pltfm=desktop&pgId=smart%20blood%20pressure%20monitors&pt=search&spQs=Ehn8Du-Vb4U89tN04yxWklJy9Q1X8i2Qjv_WAIvLWF0Sfqx9Lg33Pwavau84B88MV8Z4B-KT-3X1eky7kPDW8U0gOfDsLcUKV1Q6KxV99woQntdsjNQ8SyYxFzIrzFashWPGu10Sv1Wvj-xirxE3NhEMooLk7KtaubkzIQ6TRos82QWaQJBTKu_bhSPeUJtSJWyahQEmfFfh5PdCc-bzxyqbKoccGlQKpZwMdBim5z_ojDPHbwLmXv3N5ysnxvHknz5np4WDqJJzZ5Ki-QucYxd5MHVqGNqzIDZPIaa1N1o&storeId=5867&couponState=na&bkt=ace_3121%7Ccoldstart_on%7Csearch_default&athbdg=L1103
993630958,BWell Smart Health Monitors Set Arm Blood Pressure Monitor Pulse Oximeter Forehead Thermometer,Bwell,"
Features: 
Easy to use
Easy to read displays
°F/°C conversion
Compatible with all phone types
Works with health apps
Highly accurate
Package Includes: 
Forehead Thermometer
Blood Pressure Monitor
Blood Pressure Cuff
Fingertip Oximeter
8 AAA Batteries
User Manual
Blood Pressure Monitor 
The Blood Pressure Monitor can be used to measure your blood pressure, vein diameter, and pulse. It can also detect the presence of arrhythmia.
Large easy to read LCD display
Measures pressure, beats, and pulse
Can store 99 measurements for two years
Pressure resolution: 1mmHg
Pressure Measurement Range: 0-299 mmHg (0-39.3kpa)
Heartbeat Measurement Range: 40-199 pulse/min
Fingertip Pulse Oximeter 
The Fingertip Pulse Oximeter can be used to measure hemoglobin saturation and pulse rate through your finger.
Displays blood oxygen, pulse rate, pulse waveform, and pulse.
Easy to read, multiple direction and mode OLCD display
SpO2 measurement range: 70-99%
Pulse measurement range: 30-240bpm
Low perfusion: ≤0.4%
Forehead Thermometer 
The Forehead Thermometer can be used to conduct contact-less body and surface temperature measurements.
Measure forehead temperature with high accuracy
Color-coded lights to quickly evaluate the temperature
Measuring Units: °F/°C
Measuring Range: 89.6-109.4 °F (32-43 °C)
Accuracy +/- 0.4 °F (+/- 0.2 °C)",BWELL,https://i5.walmartimages.com//seo/BWell-Smart-Health-Monitors-Set-Arm-Blood-Pressure-Monitor-Pulse-Oximeter-Forehead-Thermometer_7fc906ac-548f-4b98-a905-ab54c8ad45a9.fcfe0ce3cd3351a09a38c3426631f8a3.jpeg,https://www.walmart.com/ip/BWell-Smart-Health-Monitors-Set-Arm-Blood-Pressure-Monitor-Pulse-Oximeter-Forehead-Thermometer/993630958?athbdg=L1600&from=/search
1349068078,Beurer Series 800W Smart Bluetooth Blood Pressure Wrist Monitor BC87W,Beurer,"
Beurer Series 800W Smart Bluetooth Blood Pressure Wrist Monitor, BC87W
EASY TO READ:  The BC87W wrist blood pressure machine has an XL LCD display to easily read your blood pressure and the color-coded risk indicator helps quickly interpret it 
SMART SYNC FEATURES: Sync blood pressure readings to your phone via Bluetooth with our free Health Manager Pro app – no more manually recording results. The BC87W can also store 60 readings for 2 users on the device for 120 total memory spaces
IRREGULAR HEARTBEAT DETECTION: Measure your blood pressure and heart rate in one easy-to-use device – if an irregular heartbeat is detected by the blood pressure machine, an alarm will sound
COMFORT WRIST CUFF: The BC87W bp wrist unit features an automatic bp cuff that fits most sized wrists from 5.4"" to 8.5""",MANAGERPRO,https://i5.walmartimages.com//seo/Beurer-Series-800W-Smart-Bluetooth-Blood-Pressure-Wrist-Monitor-BC87W_906742e5-3443-4337-b25e-f50e8ff4ad2e.5cbe51b7cd9dd834409a5fc0105710e6.jpeg,https://www.walmart.com/ip/Beurer-Series-800W-Smart-Bluetooth-Blood-Pressure-Wrist-Monitor-BC87W/1349068078?from=/search
1805922658,Beurer Series 800 Smart Bluetooth Blood Pressure Arm Monitor BM69W,Beurer,"
Beurer Series 800 Smart Bluetooth Blood Pressure Arm Monitor, BM69W
EASY TO READ:  The Beurer Series 800 upper arm blood pressure machine has an XL LCD display to easily read your blood pressure and the color-coded risk indicator helps quickly interpret it
SMART SYNC FEATURES: Sync blood pressure readings to your smartphone via Bluetooth with our free Health Manager Pro app – no more manual recording of your results. The Beurer Series 800 can also store 100 readings for 2 users on the device
IRREGULAR HEARTBEAT DETECTION: Measure your blood pressure and heart rate in one easy-to-use device – if an irregular heartbeat is detected by the blood pressure monitor, an alarm will sound. It also features an averaging function of all saved measurements
XL CUFF: The Beurer Series 800 upper arm blood pressure cuff fits most sized arms from 8.7 to 17.3 inches",,https://i5.walmartimages.com//seo/Beurer-Series-800-Smart-Bluetooth-Blood-Pressure-Arm-Monitor-BM69W_5c46db05-37ef-492f-b989-9d2fef437712.0bffa87bd78c230831217b7fdae84129.jpeg,https://www.walmart.com/ip/Beurer-Series-800-Smart-Bluetooth-Blood-Pressure-Arm-Monitor-BM69W/1805922658?from=/search
1187151570,Garmin Index BPM Smart Blood Pressure Monitor,Garmin,"
Get accurate blood pressure readings on a compact, all-in-one device.
You have the option to see all the stats you care about in one place — the Garmin Connect app.
Uploading to Garmin Connect is easy with built-in Wi-Fi® technology.
It’s easy to view reports and share them with your health care provider.
Keep track for up to 9 months with the included batteries, and easily replace them when you need to.",,https://i5.walmartimages.com//seo/Garmin-Index-BPM-Smart-Blood-Pressure-Monitor_fb27c617-c937-413f-b5cc-41c417a57abe.64ae316dcd76afd1bcdecf455f94a251.jpeg,https://www.walmart.com/ip/Garmin-Index-BPM-Smart-Blood-Pressure-Monitor/1187151570?from=/search
615355350,Greater Goods Smart Pro Series Blood Pressure Monitor BT Upper Arm Smart BPM With Large Backlit LCD Premium Hardware,Greater Goods,"
Measures systolic and diastolic blood pressure, as well as pulse
Alerts for irregular heartbeat
Premium components = higher accuracy
Two power sources (Both included): wall charger and AA batteries
Longer charge from AA batteries
Premium cuff = comfortable, durable materials that fit most arms
Syncs automatically with free Balance Health application (for iOS and Android)
Large, inverted, color, backlit screen
Settings for two unique users
Stores up to 60 readings per user
FDA cleared
Eye-catching design",HEALTH,https://i5.walmartimages.com//seo/Greater-Goods-Smart-Pro-Series-Blood-Pressure-Monitor-BT-Upper-Arm-Smart-BPM-With-Large-Backlit-LCD-Premium-Hardware_2f1f5424-5794-467d-a749-5cad3fadec6d.6f59f7605348af8116220fb38856050d.jpeg,https://www.walmart.com/ip/Greater-Goods-Smart-Pro-Series-Blood-Pressure-Monitor-BT-Upper-Arm-Smart-BPM-With-Large-Backlit-LCD-Premium-Hardware/615355350?from=/search
315350668,Withings BPM Connect Wi Fi Smart Blood Pressure Monitor,Withings,"
MEDICALLY ACCURATE BLOOD PRESSURE & HEART RATE - This Wi-Fi blood pressure monitor provides medically accurate blood pressure and heart rate measurements with immediate feedback on the device and full data history in the app. HOME BLOOD PRESSURE MONITORING - The device helps you monitor your systolic and diastolic blood pressure plus heart rate from the comfort of your home. The American Heart Association recommends monitoring blood pressure at home. TRUSTED ACCURACY - BPM Connect is a FDA-cleared medical device and compliant with European medical device standards. You'll get color-coded feedback based on the ESH and the AHA recommendations for hypertension. INSTANT FEEDBACK - Get instant color-coded feedback on the LED screen of the device right after the measurement: systolic, diastolic blood pressure and heart rate readings."""" BETTER BY DESIGN - This blood pressure monitor features premium materials and has a compact design so you can bring it anywhere. Forget the batteries - It's rechargeable via micro USB and lasts up to 6 months with one charge. AUTOMATIC SYNCHRONIZATION - You will find your full data history in the free Health Mate app via Wi-Fi or Bluetooth synchronization. Data is automatically synchronized via your home Wi-Fi network, without the need to have the phone right by. KEEP YOUR DOCTOR IN THE LOOP - Use BPM Connect for prevention or to check the efficacy of your treatment. Either way, a few taps on your smartphone is all it takes to share measurements with your doctor. FSA-ELIGIBLE - Flexible Spending Account funds can be used to cover the costs of this device (US) UNLIMITED DATA STORAGE IN APP - Free & unlimited access to your data history WORKS WITH APPLE HEALTH - Automatically retrieve your blood pressure data on Apple Health '",HEALTH,https://i5.walmartimages.com//seo/Withings-BPM-Connect-Wi-Fi-Smart-Blood-Pressure-Monitor_43595ba2-58ff-4862-ad56-279f7f529e25.2e3ae0f6e34e01d898aadce7d333834d.jpeg,https://www.walmart.com/ip/Withings-BPM-Connect-Wi-Fi-Smart-Blood-Pressure-Monitor/315350668?from=/search
